pref_name,first_approval,dosed_ingredient,oral,parenteral,topical,first_in_class,smiles
CHLORAMPHENICOL,1950,1,1,1,1,0,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl
SECOBARBITAL SODIUM,1950,1,1,1,1,0,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O
CHLORTETRACYCLINE HYDROCHLORIDE,1950,1,0,0,1,0,CN(C)C1C(=O)C(C(N)=O)C(=O)[C@@]2(O)C(=O)C3C(=O)c4c(O)ccc(Cl)c4[C@@](C)(O)[C@H]3C[C@@H]12
DICYCLOMINE,1950,0,1,1,0,0,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1
OXYCODONE,1950,1,1,0,0,0,COc1ccc2c3c1OC1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314
QUINIDINE GLUCONATE,1950,1,1,1,0,0,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12
PROCAINAMIDE,1950,0,1,1,0,0,CCN(CC)CCNC(=O)c1ccc(N)cc1
METHANTHELINE,1951,0,1,0,0,0,CC[N+](C)(CC)CCOC(=O)C1c2ccccc2Oc2ccccc21
PHENACEMIDE,1951,1,1,0,0,0,NC(=O)NC(=O)Cc1ccccc1
EDROPHONIUM,1951,0,0,1,0,0,CC[N+](C)(C)c1cccc(O)c1
HYDROCORTISONE ACETATE,1951,1,0,1,1,0,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
PROBENECID,1951,1,1,0,0,0,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1
DYPHYLLINE,1951,1,1,1,0,0,Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O
IOPANOIC ACID,1951,1,1,0,0,0,CCC(Cc1c(I)cc(I)c(N)c1I)C(=O)O
MEPHENTERMINE SULFATE,1951,1,0,1,0,0,CNC(C)(C)Cc1ccccc1
PROMETHAZINE HYDROCHLORIDE,1951,1,1,1,1,0,CC(CN1c2ccccc2Sc2ccccc21)N(C)C
MONOBENZONE,1952,1,0,0,1,0,Oc1ccc(OCc2ccccc2)cc1
ISONIAZID,1952,1,1,1,0,0,NNC(=O)c1ccncc1
PRIMAQUINE,1952,1,1,0,0,0,COc1cc(NC(C)CCCN)c2ncccc2c1
HYDROCORTISONE,1952,1,1,1,1,0,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
LEUCOVORIN CALCIUM,1952,1,1,1,0,0,Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2C=O
PHENTOLAMINE MESYLATE,1952,1,0,1,0,0,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1
CODEINE,1952,0,1,0,0,0,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341
PHENYLEPHRINE HYDROCHLORIDE,1952,1,1,1,1,0,CNC[C@H](O)c1cccc(O)c1
PHENOXYBENZAMINE HYDROCHLORIDE,1953,1,1,0,0,0,CC(COc1ccccc1)N(CCCl)Cc1ccccc1
SULFAMETHIZOLE,1953,1,1,0,0,0,Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1
PROPANTHELINE,1953,0,1,1,0,0,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C
NITROFURANTOIN,1953,1,1,1,0,0,O=c1[nH]c(O)cn1/N=C/c1ccc([N+](=O)[O-])o1
TETRACYCLINE HYDROCHLORIDE,1953,1,1,1,1,0,CN(C)C1C(=O)C(C(N)=O)C(=O)[C@@]2(O)C(=O)C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12
PHENYTOIN,1953,1,1,0,0,0,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
METHSCOPOLAMINE,1953,0,1,0,0,0,C[N+]1(C)[C@@H]2C[C@@H](OC(=O)C(CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12
METHOTREXATE SODIUM,1953,1,1,1,0,0,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1
MERCAPTOPURINE ANHYDROUS,1953,0,1,0,0,0,S=c1[nH]cnc2[nH]cnc12
ACETAZOLAMIDE,1953,1,1,1,0,0,CC(=O)Nc1nnc(S(N)(=O)=O)s1
PROPARACAINE,1953,0,0,0,1,0,CCCOc1ccc(C(=O)OCCN(CC)CC)cc1N
PYRIMETHAMINE,1953,1,1,0,0,0,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1
HYDRALAZINE,1953,0,1,1,0,0,NNc1nncc2ccccc12
SULFISOXAZOLE ACETYL,1953,1,1,0,0,0,CC(=O)N(c1onc(C)c1C)S(=O)(=O)c1ccc(N)cc1
HYDROXYSTILBAMIDINE,1953,0,0,1,0,0,N=C(N)c1ccc(/C=C/c2ccc(C(=N)N)cc2O)cc1
TESTOSTERONE ENANTHATE,1953,1,0,1,0,0,CCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CC=C4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
PRIMIDONE,1954,1,1,0,0,0,CCC1(c2ccccc2)C(=O)NCNC1=O
TRIDIHEXETHYL,1954,0,1,1,0,0,CC[N+](CC)(CC)CCC(O)(c1ccccc1)C1CCCCC1
WARFARIN,1954,0,1,1,0,0,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O
METARAMINOL BITARTRATE,1954,1,0,1,0,0,C[C@H](N)[C@H](O)c1cccc(O)c1
BROMODIPHENHYDRAMINE,1954,0,1,0,0,0,CN(C)CCOC(c1ccccc1)c1ccc(Br)cc1
METHOXSALEN,1954,1,1,1,1,0,COc1c2occc2cc2ccc(=O)oc12
BENZTROPINE MESYLATE,1954,1,1,1,0,0,CN1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2
PROCAINE HYDROCHLORIDE,1954,1,0,1,0,0,CCN(CC)CCOC(=O)c1ccc(N)cc1
DIATRIZOATE SODIUM,1954,1,1,1,1,0,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I
PREDNISOLONE,1955,1,1,0,1,0,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
HYDROCORTISONE CYPIONATE,1955,1,1,0,0,0,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCC1CCCC1
HYDROCORTISONE HEMISUCCINATE ANHYDROUS,1955,0,0,1,0,0,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCC(=O)O
DEXTROAMPHETAMINE,1955,1,1,0,1,0,C[C@H](N)Cc1ccccc1
PREDNISONE,1955,1,1,0,0,0,C[C@]12C=CC(=O)C=C1CC[C@@H]1C2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
AMPHETAMINE,1955,1,1,0,0,0,CC(N)Cc1ccccc1
PYRIDOSTIGMINE,1955,0,1,1,0,0,CN(C)C(=O)Oc1ccc[n+](C)c1
CHLOROPROCAINE HYDROCHLORIDE,1955,1,0,1,0,0,CCN(CC)CCOC(=O)c1ccc(N)cc1Cl
PREDNISOLONE ACETATE,1955,1,1,1,1,0,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
METHYLPHENIDATE HYDROCHLORIDE,1955,1,1,0,0,0,COC(=O)C(c1ccccc1)C1CCCCN1
PROCYCLIDINE HYDROCHLORIDE,1955,1,1,0,0,0,OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1
HYDROXYCHLOROQUINE,1955,0,1,0,0,0,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12
FLUDROCORTISONE ACETATE,1955,1,1,0,0,0,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
PROCHLORPERAZINE,1956,1,1,1,1,0,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
ISOPROTERENOL,1956,0,0,1,1,0,CC(C)NCC(O)c1ccc(O)c(O)c1
PREDNISOLONE TEBUTATE,1956,1,0,1,0,0,CC(C)(C)CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
MEPENZOLATE,1956,0,1,0,0,0,C[N+]1(C)CCCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1
RESCINNAMINE,1956,1,1,0,0,0,COC(=O)C1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC
LIOTHYRONINE,1956,0,1,1,0,0,NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O
HYDROXYZINE,1956,0,1,1,0,0,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
FLUOXYMESTERONE,1956,1,1,0,0,0,C[C@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
AMBENONIUM CHLORIDE,1956,1,1,0,0,0,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)Cc1ccccc1Cl)Cc1ccccc1Cl
HYDROCORTAMATE HYDROCHLORIDE,1956,1,0,0,1,0,CCN(CC)CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
MECAMYLAMINE HYDROCHLORIDE,1956,1,1,0,0,0,CNC1(C)C2CCC(C2)C1(C)C
PROMAZINE HYDROCHLORIDE,1956,1,1,1,0,0,CN(C)CCCN1c2ccccc2Sc2ccccc21
MECLIZINE HYDROCHLORIDE,1957,1,1,0,0,0,Cc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1
ORPHENADRINE HYDROCHLORIDE,1957,1,1,0,0,0,Cc1ccccc1C(OCCN(C)C)c1ccccc1
METHSUXIMIDE,1957,1,1,0,0,0,CN1C(=O)CC(C)(c2ccccc2)C1=O
ISOPROPAMIDE IODIDE,1957,1,1,0,0,0,CC(C)[N+](C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)C(C)C
PROPOXYPHENE HYDROCHLORIDE,1957,1,1,0,0,0,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C
ANISINDIONE,1957,1,1,0,0,0,COc1ccc(C2C(=O)c3ccccc3C2=O)cc1
METHOCARBAMOL,1957,1,1,1,0,0,COc1ccccc1OCC(O)COC(N)=O
PHENPROCOUMON,1957,1,1,0,0,0,CCC(c1ccccc1)c1c(O)c2ccccc2oc1=O
CHLORAMBUCIL,1957,1,1,0,0,0,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1
ETHOTOIN,1957,1,1,0,0,0,CCn1c(O)c(-c2ccccc2)[nH]c1=O
TRIFLUPROMAZINE HYDROCHLORIDE,1957,1,1,1,0,0,CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21
CHLORPROMAZINE,1957,1,1,1,1,0,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
DESERPIDINE,1957,1,1,0,0,0,COC(=O)C1[C@H]2C[C@@H]3c4[nH]c5ccccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC
BROMPHENIRAMINE MALEATE,1957,1,1,1,0,0,CN(C)CCC(c1ccc(Br)cc1)c1ccccn1
TRIAMCINOLONE,1957,1,1,0,0,0,C[C@]12C=CC(=O)C=C1CC[C@H]1[C@@H]3C[C@@H](O)[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F
PERPHENAZINE,1957,1,1,1,0,0,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
METHYLPREDNISOLONE,1957,1,1,0,1,0,CC1=C2CC(=O)C=C[C@]2(C)[C@@H]2[C@@H](C1)[C@@H]1CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@@H]2O
CHLORPROPAMIDE,1958,1,1,0,0,0,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1
BENZONATATE,1958,1,1,0,0,0,CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1
PHENYLPROPANOLAMINE,1958,0,1,0,0,0,CC(N)C(O)c1ccccc1
DICHLORPHENAMIDE,1958,1,1,0,0,0,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1
CHLORZOXAZONE,1958,1,1,0,0,0,O=c1[nH]c2cc(Cl)ccc2o1
DEXAMETHASONE,1958,1,1,1,1,0,C[C@@H]1C[C@H]2[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
PENICILLIN V POTASSIUM,1958,1,1,0,0,0,CC1(C)S[C@@H]2C(NC(=O)COc3ccccc3)C(=O)N2C1C(=O)O
FURAZOLIDONE,1958,1,1,0,0,0,O=C1OCCN1/N=C/c1ccc([N+](=O)[O-])o1
CHLOROTHIAZIDE SODIUM,1958,1,0,1,0,0,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O
DEMECARIUM BROMIDE,1959,1,0,0,1,0,CN(CCCCCCCCCCN(C)C(=O)Oc1cccc([N+](C)(C)C)c1)C(=O)Oc1cccc([N+](C)(C)C)c1
MEDROXYPROGESTERONE ACETATE,1959,1,1,1,0,0,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CC(C)=C4CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
SULFINPYRAZONE,1959,1,1,0,0,0,O=c1c(CC[S+]([O-])c2ccccc2)c(O)n(-c2ccccc2)n1-c1ccccc1
DIETHYLPROPION HYDROCHLORIDE,1959,1,1,0,0,0,CCN(CC)C(C)C(=O)c1ccccc1
CHLORAMPHENICOL SODIUM SUCCINATE,1959,1,0,1,0,0,O=C(O)CCC(=O)OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc([N+](=O)[O-])cc1
CYCLOPHOSPHAMIDE,1959,1,1,1,0,0,O=P1(N(CCCl)CCCl)NCCCO1
THIOTEPA,1959,1,0,1,0,0,S=P(N1CC1)(N1CC1)N1CC1
TRIAMCINOLONE DIACETATE,1959,1,1,1,0,0,CC(=O)OCC(=O)[C@@]1(O)[C@H](OC(C)=O)C[C@H]2[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
IMIPRAMINE HYDROCHLORIDE,1959,1,1,1,0,0,CN(C)CCCN1c2ccccc2CCc2ccccc21
METHYLPREDNISOLONE ACETATE,1959,1,0,1,1,0,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CC(C)=C4CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
OXYMORPHONE,1959,0,1,1,1,0,CN1CC[C@]23c4c5ccc(O)c4OC2C(=O)CC[C@@]3(O)[C@H]1C5
METHAZOLAMIDE,1959,1,1,0,0,0,CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C
INDOCYANINE GREEN ACID FORM,1959,0,0,1,0,0,CC1(C)C(/C=C/C=C/C=C/C=C2\N(CCCCS(=O)(=O)O)c3ccc4ccccc4c3C2(C)C)=[N+](CCCCS(=O)(=O)[O-])c2ccc3ccccc3c21
FLUPHENAZINE HYDROCHLORIDE,1959,1,1,1,0,0,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
METHYLPREDNISOLONE HEMISUCCINATE,1959,0,0,1,0,0,CC1=C2CC(=O)C=C[C@]2(C)[C@@H]2[C@@H](C1)[C@@H]1CC[C@](O)(C(=O)COC(=O)CCC(=O)O)[C@@]1(C)C[C@@H]2O
NANDROLONE PHENPROPIONATE,1959,1,0,1,0,0,C[C@]12CC[C@@H]3C4=C(CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)CCc1ccccc1)CC(=O)CC4
BENDROFLUMETHIAZIDE,1959,1,1,0,0,0,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O
DEXAMETHASONE SODIUM PHOSPHATE,1959,1,0,1,1,0,C[C@@H]1C[C@H]2[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)(O)O
HYDROFLUMETHIAZIDE,1959,1,1,0,0,0,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NCNS2(=O)=O
BIPERIDEN HYDROCHLORIDE,1959,1,1,0,0,0,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2
PHENTERMINE,1959,1,1,0,0,0,CC(C)(N)Cc1ccccc1
ISOCARBOXAZID,1959,1,1,0,0,0,Cc1cc(C(=O)NNCc2ccccc2)no1
HYDROCHLOROTHIAZIDE,1959,1,1,0,0,0,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
TRIFLUOPERAZINE,1959,1,1,1,0,0,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
TRIAMCINOLONE ACETONIDE,1960,1,0,1,1,0,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CC=C5CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
TRICHLORMETHIAZIDE,1960,1,1,0,0,0,NS(=O)(=O)c1cc2c(cc1Cl)NC(C(Cl)Cl)NS2(=O)=O
BENZTHIAZIDE,1960,1,1,0,0,0,NS(=O)(=O)c1cc2c(cc1Cl)N=C(CSCc1ccccc1)NS2(=O)=O
RESERPINE,1960,1,1,1,0,0,COC(=O)C1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC
METHOHEXITAL SODIUM,1960,1,0,1,0,0,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O
MEPIVACAINE,1960,0,0,1,0,0,Cc1cccc(C)c1NC(=O)C1CCCCN1C
DEMECLOCYCLINE,1960,0,1,0,0,0,CN(C)C1C(=O)C(C(N)=O)C(=O)[C@@]2(O)C(=O)C3C(=O)c4c(O)ccc(Cl)c4[C@@H](O)[C@H]3C[C@@H]12
SPIRONOLACTONE,1960,1,1,0,0,0,CC(=O)S[C@@H]1C=C2CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@H]12
PROPIOMAZINE HYDROCHLORIDE,1960,1,0,1,0,0,CCC(=O)c1ccc2c(c1)N(CC(C)N(C)C)c1ccccc1S2
HYDROCORTISONE PHOSPHORIC ACID,1960,0,0,1,0,0,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COP(=O)(O)O
CHLORMEZANONE,1960,1,1,0,0,0,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1
CHLORTHALIDONE,1960,1,1,0,0,0,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl
LEVONORDEFRIN,1960,1,0,1,0,0,C[C@H](N)[C@H](O)c1ccc(O)c(O)c1
CHLORDIAZEPOXIDE HYDROCHLORIDE,1960,1,1,1,0,1,CN=C1C[N+]([O-])=C(c2ccccc2)c2cc(Cl)ccc2N1
OXYPHENBUTAZONE ANHYDROUS,1960,0,1,0,0,0,CCCCc1c(O)n(-c2ccc(O)cc2)n(-c2ccccc2)c1=O
ETHOSUXIMIDE,1960,1,1,0,0,0,CCC1(C)CC(=O)NC1=O
BENZPHETAMINE,1960,0,1,0,0,0,C[C@@H](Cc1ccccc1)N(C)Cc1ccccc1
METHYCLOTHIAZIDE,1960,1,1,0,0,0,CN1C(CCl)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O
DIPHENOXYLATE,1960,0,1,0,0,0,CCOC(=O)C1(c2ccccc2)CCN(CCC(C#N)(c2ccccc2)c2ccccc2)CC1
GUANETHIDINE MONOSULFATE,1960,1,1,0,0,0,N=C(N)NCCN1CCCCCCC1
ATROPINE,1960,1,1,1,1,0,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2
TROPICAMIDE,1960,1,0,0,1,0,CCN(Cc1ccncc1)C(=O)C(CO)c1ccccc1
METYRAPONE,1961,1,1,0,0,0,CC(C)(C(=O)c1cccnc1)c1cccnc1
PHENELZINE SULFATE,1961,1,1,0,0,0,NNCCc1ccccc1
